HOOD_ID,join,Assault_2014,Auto Theft_2014,Bike Theft_2014,Break and Enter_2014,Homicide_2014,Robbery_2014,Shooting (Non-Fatal)_2014,Theft From Motor Vehicle_2014,Theft Over_2014,Assault_2015,Auto Theft_2015,Bike Theft_2015,Break and Enter_2015,Homicide_2015,Robbery_2015,Shooting (Non-Fatal)_2015,Theft From Motor Vehicle_2015,Theft Over_2015,Assault_2016,Auto Theft_2016,Bike Theft_2016,Break and Enter_2016,Homicide_2016,Robbery_2016,Shooting (Non-Fatal)_2016,Theft From Motor Vehicle_2016,Theft Over_2016,Assault_2017,Auto Theft_2017,Bike Theft_2017,Break and Enter_2017,Homicide_2017,Robbery_2017,Shooting (Non-Fatal)_2017,Theft From Motor Vehicle_2017,Theft Over_2017,Assault_2018,Auto Theft_2018,Bike Theft_2018,Break and Enter_2018,Homicide_2018,Robbery_2018,Shooting (Non-Fatal)_2018,Theft From Motor Vehicle_2018,Theft Over_2018,Assault_2019,Auto Theft_2019,Bike Theft_2019,Break and Enter_2019,Homicide_2019,Robbery_2019,Shooting (Non-Fatal)_2019,Theft From Motor Vehicle_2019,Theft Over_2019,Assault_2020,Auto Theft_2020,Bike Theft_2020,Break and Enter_2020,Homicide_2020,Robbery_2020,Shooting (Non-Fatal)_2020,Theft From Motor Vehicle_2020,Theft Over_2020,Assault_2021,Auto Theft_2021,Bike Theft_2021,Break and Enter_2021,Homicide_2021,Robbery_2021,Shooting (Non-Fatal)_2021,Theft From Motor Vehicle_2021,Theft Over_2021,Assault_2022,Auto Theft_2022,Bike Theft_2022,Break and Enter_2022,Homicide_2022,Robbery_2022,Shooting (Non-Fatal)_2022,Theft From Motor Vehicle_2022,Theft Over_2022,Assault_2023,Auto Theft_2023,Bike Theft_2023,Break and Enter_2023,Homicide_2023,Robbery_2023,Shooting (Non-Fatal)_2023,Theft From Motor Vehicle_2023,Theft Over_2023,Assault_2024,Auto Theft_2024,Bike Theft_2024,Break and Enter_2024,Homicide_2024,Robbery_2024,Shooting (Non-Fatal)_2024,Theft From Motor Vehicle_2024,Theft Over_2024
1,1,280,299,4,145,0,76,4,355,39,282,261,18,117,3,67,4,246,57,267,318,13,124,2,74,8,212,38,296,324,10,113,0,100,8,202,56,303,504,7,158,0,82,14,373,54,228,486,7,130,1,59,14,340,63,234,400,4,88,3,65,5,347,51,243,491,12,96,0,46,5,351,54,246,772,6,126,1,60,4,425,57,300,816,10,205,2,71,8,269,77,66,151,1,54,1,13,1,44,12
10,10,23,21,2,30,0,7,0,89,2,15,17,5,26,0,4,0,72,3,27,20,2,26,1,36,0,53,3,28,18,2,22,0,6,3,29,3,17,20,6,23,1,2,0,33,5,27,26,3,28,0,12,0,33,5,28,21,1,11,0,9,1,33,4,23,26,4,10,0,1,1,30,2,20,60,1,12,0,1,1,26,2,25,111,2,58,0,5,1,17,6,8,20,0,11,0,0,0,5,1
100,100,22,3,7,32,0,11,0,21,2,24,10,18,17,0,8,0,9,2,29,4,20,20,0,8,0,10,3,30,2,17,18,0,9,0,24,2,22,14,7,12,0,14,0,20,1,35,12,12,27,1,6,0,37,5,35,14,25,17,0,4,0,38,3,28,26,10,18,0,1,0,16,2,66,40,7,21,1,1,0,27,1,59,42,9,22,0,1,1,13,10,19,6,3,2,0,1,0,1,0
101,101,12,6,8,46,0,5,0,21,6,18,11,8,24,0,1,0,9,4,12,9,8,20,0,2,0,10,7,26,12,7,69,1,2,1,16,4,14,27,8,40,0,7,0,24,2,20,20,7,39,0,18,0,23,4,31,32,15,39,0,4,0,41,5,10,77,18,21,0,3,0,18,2,23,75,7,26,0,1,0,20,9,41,93,10,69,0,2,1,15,2,7,5,0,11,0,4,0,5,2
102,102,28,14,17,40,0,3,0,31,3,30,10,36,31,0,2,0,17,3,18,5,13,22,0,2,0,8,2,27,12,8,36,0,6,0,39,1,30,23,7,39,0,9,1,32,0,29,25,14,27,0,17,1,29,4,32,40,23,30,0,7,0,47,6,40,34,5,17,0,0,1,36,4,41,38,2,18,0,5,1,10,3,38,52,1,35,0,1,0,34,3,3,3,2,13,0,0,0,6,0
103,103,17,19,7,66,0,3,0,50,4,32,29,11,42,0,6,0,21,4,26,22,13,41,0,2,0,26,3,31,16,18,50,0,8,0,33,5,22,24,14,36,0,9,0,25,3,34,30,11,51,0,13,0,56,8,48,35,32,53,0,13,0,48,10,48,65,16,25,0,7,0,25,4,42,105,8,32,0,9,1,38,6,42,131,9,58,0,10,1,22,5,6,15,0,18,0,12,0,3,1
105,105,21,18,7,29,1,0,0,61,4,22,22,8,34,0,5,0,32,5,17,13,13,27,0,4,0,23,4,25,26,19,28,0,6,0,37,6,11,39,12,12,0,2,0,39,3,22,17,23,22,0,5,0,54,4,25,23,17,19,0,12,0,45,1,22,43,18,17,0,8,0,25,1,25,81,11,29,0,6,0,27,2,23,82,5,31,0,6,0,29,5,14,13,1,10,0,0,0,8,1
106,106,47,10,23,26,0,9,0,83,3,51,8,53,41,1,14,0,59,3,61,17,16,22,0,13,0,37,3,54,20,13,37,0,8,0,34,5,49,19,19,36,0,7,0,60,7,56,21,17,37,0,10,0,48,3,44,27,25,51,0,14,0,55,8,53,34,14,21,0,3,0,43,2,52,62,20,28,0,6,1,38,3,67,59,11,45,0,5,0,25,2,17,6,2,5,0,3,0,4,2
107,107,131,21,19,35,2,46,0,28,4,149,11,20,32,0,22,3,38,4,163,27,18,27,0,38,12,25,2,147,14,15,45,0,37,2,58,6,151,34,8,27,0,25,11,33,2,177,38,14,63,2,54,13,47,2,137,27,13,47,2,28,8,55,6,136,33,13,49,0,16,3,50,6,173,68,11,40,1,29,6,43,8,127,63,8,38,0,19,2,45,3,37,10,2,19,0,6,1,6,2
108,108,54,9,17,35,0,9,0,24,7,56,13,9,25,0,11,0,31,2,51,14,6,22,0,20,1,27,4,46,9,6,22,1,12,3,25,3,60,30,11,25,0,20,0,28,4,59,17,2,30,0,19,2,30,6,49,32,15,29,0,8,0,55,6,41,21,1,25,1,12,0,56,4,58,40,4,21,0,10,2,33,4,57,24,4,32,0,15,1,36,8,9,9,1,11,0,1,0,20,2
109,109,47,12,4,23,0,13,0,16,4,62,4,3,17,0,8,1,11,1,58,12,4,12,0,11,0,13,1,66,8,2,13,0,10,1,20,1,57,13,2,8,0,10,2,22,1,68,9,0,11,0,15,0,20,2,54,9,4,8,0,5,2,16,3,66,10,2,12,0,3,2,18,4,61,27,3,5,0,4,1,23,2,61,36,10,13,1,7,2,13,2,12,7,0,0,0,0,0,7,0
11,11,45,24,5,34,0,13,0,61,8,58,19,2,27,0,15,4,45,3,60,29,2,27,0,13,3,36,2,50,27,4,16,0,18,1,25,1,32,27,2,27,2,9,2,38,4,42,39,3,19,1,11,2,31,4,39,50,4,9,0,18,4,34,2,30,61,0,8,0,4,1,30,2,51,85,0,16,0,11,1,54,3,75,107,3,28,0,13,0,38,2,16,41,0,10,0,2,1,9,3
110,110,84,18,3,24,1,37,1,18,1,77,16,4,21,0,22,6,19,1,63,14,4,16,0,30,1,12,0,75,29,5,13,1,28,3,23,4,85,24,3,35,0,21,5,21,4,72,31,2,17,1,14,0,25,9,89,23,5,20,0,11,2,31,3,86,24,2,29,3,7,1,33,1,100,29,3,19,0,12,0,34,0,116,33,2,31,1,27,2,22,3,19,7,0,2,0,2,1,8,0
111,111,136,49,12,38,0,36,2,52,6,139,44,12,38,2,38,6,57,3,145,35,9,37,0,67,3,43,3,117,51,13,36,0,47,1,53,10,137,53,6,29,0,18,5,75,15,149,36,5,41,1,10,6,67,10,140,63,1,41,2,14,3,68,3,136,46,11,32,1,14,11,38,6,176,62,7,31,0,21,7,55,11,176,77,12,61,0,19,8,93,9,33,10,0,14,0,3,1,16,1
112,112,49,12,1,18,0,13,1,8,2,60,7,5,17,0,9,3,14,7,57,8,1,9,0,11,1,6,3,57,10,0,19,0,5,1,16,2,43,12,1,24,0,10,0,11,0,58,14,0,14,0,9,5,8,1,38,18,0,7,0,4,1,26,2,47,21,0,6,2,13,3,13,0,58,21,0,9,0,1,2,25,2,78,24,3,21,1,11,3,10,6,19,8,0,5,0,0,0,2,0
113,113,156,50,8,32,0,34,3,71,4,142,33,5,47,0,43,5,64,4,176,39,7,40,3,38,11,89,3,163,36,10,71,1,40,6,81,4,146,48,14,36,1,33,8,74,7,175,47,7,46,1,19,7,66,5,202,66,7,21,3,22,3,93,11,184,54,5,33,0,23,4,62,4,220,98,6,40,2,30,3,82,7,218,93,11,53,1,31,3,51,3,57,27,0,22,3,18,2,13,1
114,114,33,6,9,12,0,1,1,20,1,32,6,11,13,0,8,3,13,3,24,1,5,8,0,5,0,14,1,18,10,2,10,0,3,1,6,0,23,16,5,7,0,1,0,24,2,24,10,9,14,0,3,2,15,1,18,11,8,14,0,1,0,14,1,28,8,4,5,0,0,0,5,2,42,20,6,12,0,4,0,6,1,28,20,1,15,0,5,2,8,3,5,2,1,6,0,1,3,6,0
115,115,98,25,2,18,1,29,3,19,3,107,12,1,22,0,12,1,51,2,113,17,3,31,0,28,3,21,0,103,18,4,18,0,33,1,17,4,95,16,2,21,1,11,3,32,1,98,24,2,17,3,19,2,32,5,75,25,1,18,1,19,1,36,3,99,28,6,16,1,11,2,33,3,117,39,4,24,0,6,2,35,5,115,53,3,24,0,9,2,27,8,21,7,1,11,0,4,2,6,2
116,116,48,20,2,64,0,8,2,27,4,44,15,4,60,0,15,0,35,4,46,32,1,51,0,21,0,20,3,49,30,6,43,0,6,0,33,7,33,26,1,64,0,10,1,32,6,49,33,0,76,0,10,0,39,4,49,31,0,26,0,8,2,23,4,53,43,0,17,0,8,1,28,4,47,44,1,34,0,28,0,47,5,57,80,3,29,0,10,1,29,4,11,12,0,7,0,1,0,7,3
118,118,107,24,2,49,0,27,0,62,3,98,17,2,71,1,37,3,62,8,101,21,2,60,0,13,2,44,8,123,21,5,57,0,27,2,67,6,132,31,4,83,1,20,2,57,4,116,28,3,78,1,24,3,60,3,113,44,8,58,1,24,2,57,3,119,54,5,20,0,12,5,59,5,119,85,7,38,1,30,0,107,4,146,103,14,37,0,26,4,70,6,33,20,0,13,0,7,1,11,0
119,119,224,58,16,141,2,53,4,112,14,243,48,10,100,0,37,3,131,16,225,40,9,76,2,31,3,119,13,245,74,7,98,0,47,6,130,13,234,88,8,110,2,38,5,89,14,284,98,10,97,1,27,5,92,17,211,84,13,79,2,32,3,140,9,239,98,13,75,1,29,3,136,16,250,133,11,77,1,40,4,135,21,276,203,23,81,0,32,6,120,25,78,39,1,14,0,15,2,19,4
12,12,26,10,31,50,0,7,0,59,4,15,16,5,20,0,3,0,35,2,22,13,2,18,0,10,0,43,1,33,9,3,14,0,10,0,30,1,21,16,5,32,0,3,1,24,3,16,10,9,26,0,14,1,16,2,44,27,1,12,0,16,0,16,7,30,26,1,11,0,8,0,23,0,43,36,2,13,0,12,0,41,2,44,53,1,16,0,3,0,22,1,13,14,0,5,0,0,0,4,0
