artist_name,album_name,genre,label,review_date,reviewer,score
Chris Richards,Mystery Spot,Pop/R&B,Jam,"September 15, 2004",Joe Tangari,7.3
Jad Fair,It's Spooky,Rock,Jagjaguwar,"June 19, 2001",Ryan Schreiber,6.3
Plastiscines,LP1,Electronic / Rock,Virgin,"May 9, 2007",Joe Tangari,7.0
Pianos Become the Teeth,Wait for Love,Rock,Epitaph,"February 16, 2018",Ian Cohen,7.7
Land of Kush,Against the Day,Experimental / Jazz,Constellation,"June 26, 2009",Andrew Gaerig,6.1
Nurse With Wound,Livin' Fear of James Last,Experimental,Castle,"January 10, 2006",Alex Lindhart,8.2
Ultraísta,Sister,Pop/R&B,Partisan,"March 19, 2020",Dani Blum,6.2
No artist found,"12""/80s/2",Not found,Family,"August 2, 2005",Jess Harvell,7.1
Amnesia Scanner,STROBE.RIP,Experimental / Electronic,Pan,"June 28, 2023",Sasha Geffen,7.3
Doveman,The Acrobat,Rock,Swim Slowly,"July 13, 2005",No reviewer found,8.0
Baths,Pop Music / False B​-​Sides II,Electronic,self-released,"June 2, 2020",Ian Cohen,7.0
Sound Team,Movie Monster,Rock,Capitol,"June 30, 2006",Marc Hogan,3.7
Exhaust,Enregistraur,Rock,Constellation,"October 14, 2002",Chris Dahlen,4.4
John Frusciante,The Will to Death,Rock,Recordcollection,"August 17, 2004",Johnny Loftus,7.4
Mark Kozelek,Mark Kozelek: On Tour: A Documentary - The Soundtrack,Rock,Caldo Verde,"November 13, 2012",Stephen M. Deusner,6.0
Big K.R.I.T.,Last King 2: God's Machine,Rap,self-released,"August 31, 2011",Jayson Greene,6.4
Spun Out,Touch the Sound,Rock,Shuga,"August 24, 2020",Arielle Gordon,7.5
Plaid,Trainer,Electronic,Warp,"July 10, 2000",Paul Cooper,8.5
Kate Bush,The Sensual World,Pop/R&B,EMI,"January 19, 2019",Ben Hewitt,9.4
Prurient,Through the Window,Experimental,Blackest Ever Black,"February 26, 2013",Ruth Saxelby,7.4
Noah and the Whale,Heart of Nowhere,Rock,Mercury,"June 26, 2013",Dean Van Nguyen,5.0
Paul Cauthen,Country Coming Down,Folk/Country,Thirty Tigers,"April 1, 2022",Stephen Thomas Erlewine,7.0
Otomo Yoshihide,Anode,Experimental,Tzadik,"April 10, 2002",Dominique Leone,7.8
Re-Up Gang,The Clipse Present: Re-Up Gang,Pop/R&B / Rap,Re-Up,"August 7, 2008",Ian Cohen,5.6
Fountains of Wayne,Utopia Parkway,Rock,Atlantic / Scratchie,"April 6, 1999",Brent DiCrescenzo,5.1
Rico Nasty,Nasty,Rap,Sugar Trap,"June 21, 2018",Sheldon Pearce,8.0
Autechre,Peel Session,Electronic,Interscope / Nothing,"February 9, 1999",Ryan Schreiber,7.7
Sioux Falls,Rot Forever,Rock,Broken World Media / Standard Brickhouse,"February 12, 2016",Ivy Nelson,6.9
Señor Coconut,El Gran Baile,Electronic / Pop/R&B,Emperor Norton,"September 26, 2006",Mark Richardson,8.3
Nachtmystium,The World We Left Behind,Metal / Rock,Century Media,"August 7, 2014",Grayson Haver Currin,3.9
No artist found,No album name found,Experimental,Not found,"November 15, 2010",Brian Howe,8.4
Mike WiLL Made-It,Ransom,Rap,Ear Drummer,"January 16, 2015",David Drake,6.7
The Evens,The Evens,Metal / Rock,Dischord,"March 7, 2005",Matthew Murphy,8.0
Gardens & Villa,Dunes,Rock,Secretly Canadian,"February 6, 2014",Ian Cohen,6.2
Tape,Rideau,Electronic / Rock,Häpna,"February 26, 2006",Mark Richardson,7.8
Madrugada,Grit,Rock,Virgin,"March 14, 2004",No reviewer found,7.3
Owen,The King of Whys,Rock,Polyvinyl,"August 2, 2016",Ian Cohen,7.2
The Weather Station,The Weather Station,Folk/Country,Paradise of Bachelors,"October 9, 2017",Sam Sodomsky,8.0
Squarepusher,Ultravisitor,Electronic,Warp,"February 29, 2004",Dominique Leone,7.9
Ahmad Jamal,The Awakening,Jazz,Be With,"April 3, 2017",Michael J.  Agovino,8.0
I.U.D.,The Proper Sex,Experimental,Social Registry,"March 23, 2009",Pitchfork,3.5
Devendra Banhart,Niño Rojo,Folk/Country / Experimental,Young God,"September 21, 2004",Dominique Leone,8.0
Bill Orcutt,How the Thing Sings,Experimental,Editions Mego,"September 30, 2011",Marc Masters,8.0
Kidz in the Hall,The In Crowd,Pop/R&B / Rap,Koch / Duckdown,"June 23, 2008",Ben Westhoff,5.5
Beachwood Sparks,Make The Cowboy Robots Cry EP,Rock,Sub Pop,"June 11, 2002",No reviewer found,2.6
The Range,Panasonic EP,Electronic,Donky Pitch,"March 26, 2014",Brian Howe,7.4
Ben LaMar Gay,Downtown Castles Can Never Block the Sun,Jazz,International Anthem,"May 10, 2018",Andy Beta,7.9
Pool Holograph,Love Touched Time and Time Began to Sweat,Rock,Sunroom,"October 12, 2020",Steven Arroyo,7.1
William Tyler,Music From First Cow,Folk/Country,Merge,"March 16, 2020",Nadine Smith,7.1
Diarrhea Planet,Turn to Gold,Rock,Infinity Cat,"June 15, 2016",Benjamin Scheim,6.4
No artist found,Eccentric Soul: The Shiptown Label,Not found,Numero Group,"August 17, 2022",Rob Arcand,8.0
Jimmy Eat World,Futures,Rock,Interscope,"October 19, 2004",Marc Hogan,3.0
No artist found,No album name found,Rock,Not found,"April 13, 2006",Stephen M. Deusner,7.2
Nina Simone,To Be Free: The Nina Simone Story,Jazz / Pop/R&B,Legacy,"December 12, 2008",Chris Dahlen,9.2
Josh Ritter,The Historical Conquests of Josh Ritter,Rock,Sony / BMG,"September 27, 2007",Stephen M. Deusner,5.7
Empress Of,Us,Pop/R&B,Terrible,"October 22, 2018",Katherine St. Asaph,6.3
The Dream Syndicate,How Did I Find Myself Here?,Rock,Anti-,"September 9, 2017",David Chiu,6.9
Jack Oblivian,Rat City,Electronic / Rock,Fat Possum,"September 23, 2011",Stephen M. Deusner,7.5
Aqueduct,Or Give Me Death,Rock,Barsuk,"March 23, 2007",No reviewer found,5.8
Prefuse 73,One Word Extinguisher,Electronic,Warp,"May 7, 2003",Jascha Hoffman,9.1
Hermit and the Recluse,Orpheus vs. the Sirens,Rap,Obol for Charon,"August 23, 2018",Torii MacAdams,8.0
Kanye West,808s & Heartbreak,Rap,Def Jam / Roc-A-Fella,"December 2, 2008",Scott Plagenhoef,7.6
Ja Rule,Pain Is Love,Rap,Murder Inc. / Def Jam,"July 17, 2022",Brady Brickner-Wood,7.0
Majical Cloudz,Wait & See EP,Rock,Matador,"January 25, 2016",Jayson Greene,7.5
LU,LU,Pop/R&B,Darla / pulCec,"November 5, 2001",Christopher Dare,8.0
Itoa,Oh No EP,Electronic,Exit,"January 18, 2023",Harry Tafoya,7.4
Joy Division,Refractured,Rock,Alchemy,"January 22, 2004",Eric Carr,5.8
Jay-Z,American Gangster,Rap,Def Jam / Roc-A-Fella,"November 8, 2007",Tom Breihan,8.6
Benjy Ferree,Leaving the Nest,Rock,Domino,"February 7, 2007",Jessica Suarez,7.2
No artist found,No album name found,Experimental / Metal,Not found,"April 25, 2016",Zoe Camp,8.7
Sparks,The Girl Is Crying in Her Latte,Electronic / Experimental / Rock,Island,"May 30, 2023",Stuart Berman,7.9
Beach House,Teen Dream,Rock,Sub Pop / Bella Union,"January 26, 2010",Mark Richardson,9.0
The Muckers,Endeavor,Rock,Greenway,"February 26, 2021",Linnie Greene,5.3
Red Hot Chili Peppers,Blood Sugar Sex Magik,Rock,Warner Bros.,"July 31, 2016",Jeremy Gordon,7.1
Deftones,Deftones,Metal / Rock,Maverick,"June 25, 2003",Andrew Bryant,4.7
Rings,Black Habit,Experimental / Folk/Country,Paw Tracks,"February 15, 2008",Mike Powell,6.6
Wild Beasts,Last Night All My Dreams Came True,Rock,Domino Documents,"February 21, 2018",Sam Sodomsky,6.6
Post Animal,When I Think of You in a Castle,Rock,Polyvinyl,"April 21, 2018",Larry Fitzmaurice,6.9
Talking Heads,The Name of This Band Is Talking Heads,Rock,Sire,"August 24, 2004",Scott Plagenhoef,9.2
Beans,Only,Rap,Thirsty Ear,"May 7, 2006",Matthew Murphy,5.9
Trees,Trees (50th Anniversary Edition),Folk/Country,Earth Recordings,"January 26, 2021",Andy Cush,8.3
Modern Skirts,Gramahawk,Rock,self-released,"March 3, 2011",Ian Cohen,4.8
Two Gallants,What the Toll Tells,Rock,Saddle Creek,"March 26, 2006",Brian Howe,4.8
Foetus,Hide,Electronic,Ectopic,"January 26, 2011",Jess Harvell,7.0
The Strokes,First Impressions of Earth,Rock,RCA,"January 2, 2006",Stephen M. Deusner,5.9
Tricky,False Idols,Electronic,K7,"May 31, 2013",Nate Patrin,6.7
Ensemble,Ensemble,Electronic / Pop/R&B,FatCat,"November 29, 2006",Ryan Dombal,5.7
Isolée,We Are Monster,Electronic,Playhouse,"June 14, 2005",Nick Sylvester,8.4
The Brian Jonestown Massacre,"Bravery, Repetition and Noise",Rock,Bomp,"March 12, 2002",Cory D. Byrom,5.8
No artist found,No album name found,Experimental,Not found,"February 1, 2007",Dominique Leone,7.6
